id;name;suhu;kelembaban;cahaya;keran;date
1687;syarif;27;95;00.29;51.32.00;04/08/20 11.53
1688;syarif;27;95;00.29;51.32.00;04/08/20 11.54
1689;syarif;27;95;00.29;51.32.00;04/08/20 11.54
1690;syarif;27;95;00.29;51.32.00;04/08/20 11.54
1691;syarif;27;95;00.29;51.32.00;04/08/20 11.54
1692;syarif;27;95;00.29;51.32.00;04/08/20 11.55
1693;syarif;27;95;00.34;50.07.00;04/08/20 11.55
1694;syarif;27;95;00.34;50.07.00;04/08/20 11.55
1695;syarif;27;95;00.29;51.32.00;04/08/20 11.55
1696;syarif;27;95;00.34;50.07.00;04/08/20 11.56
1697;syarif;27;95;00.29;51.32.00;04/08/20 11.56
1698;syarif;27;95;00.34;50.07.00;04/08/20 11.56
1699;syarif;27;95;00.34;50.07.00;04/08/20 11.56
1700;syarif;27;95;00.29;51.32.00;04/08/20 11.57
1701;syarif;27;95;00.25;49.81;04/08/20 11.57
1702;syarif;27;95;00.29;51.32.00;04/08/20 11.57
1703;syarif;27;95;00.34;50.07.00;04/08/20 11.57
1704;syarif;27;95;00.34;50.07.00;04/08/20 11.58
1705;syarif;27;95;00.29;51.32.00;04/08/20 11.58
1706;syarif;27;95;00.29;51.32.00;04/08/20 11.58
1707;syarif;27;95;00.34;50.07.00;04/08/20 11.58
1708;syarif;27;95;00.29;51.32.00;04/08/20 11.59
1709;syarif;27;95;00.29;51.32.00;04/08/20 11.59
1710;syarif;27;95;00.25;49.81;04/08/20 11.59
1711;syarif;27;95;00.34;50.07.00;04/08/20 12.00
1712;syarif;27;95;00.34;50.07.00;04/08/20 12.00
1713;syarif;27;95;00.39;50.08.00;04/08/20 12.00
1714;syarif;27;95;00.34;50.07.00;04/08/20 12.00
1715;syarif;27;95;00.34;50.07.00;04/08/20 12.01
1716;syarif;27;95;00.39;50.08.00;04/08/20 12.01
1717;syarif;27;95;00.39;50.08.00;04/08/20 12.01
1718;syarif;27;95;00.34;50.07.00;04/08/20 12.01
1719;syarif;27;95;00.34;50.07.00;04/08/20 12.02
1720;syarif;27;95;00.29;51.32.00;04/08/20 12.02
1721;syarif;27;95;00.34;50.07.00;04/08/20 12.02
1722;syarif;27;95;00.29;51.32.00;04/08/20 12.02
1723;syarif;27;95;00.34;50.07.00;04/08/20 12.03
1724;syarif;27;95;00.34;50.07.00;04/08/20 12.03
1725;syarif;27;95;00.39;50.08.00;04/08/20 12.03
1726;syarif;27;95;00.34;50.07.00;04/08/20 12.03
1727;syarif;27;95;00.34;50.07.00;04/08/20 12.04
1728;syarif;27;95;00.29;51.32.00;04/08/20 12.04
1729;syarif;27;95;00.29;51.32.00;04/08/20 12.04
1730;syarif;27;95;00.29;51.32.00;04/08/20 12.04
1731;syarif;27;95;00.39;50.08.00;04/08/20 12.05
1732;syarif;27;95;00.29;51.32.00;04/08/20 12.05
1733;syarif;27;95;00.29;51.32.00;04/08/20 12.05
1734;syarif;27;95;00.29;51.32.00;04/08/20 12.05
1735;syarif;27;95;00.29;51.32.00;04/08/20 12.06
1736;syarif;27;95;00.39;50.08.00;04/08/20 12.06
1737;syarif;27;95;00.29;51.32.00;04/08/20 12.06
1738;syarif;27;95;00.34;50.07.00;04/08/20 12.06
1739;syarif;27;95;00.39;50.08.00;04/08/20 12.07
